seed,robot count,spring constant,damping coefficient,iteration,moved distance,connectivity,converged,sensing_interval
1,25,0.25,1,120,515.961049,TRUE,TRUE,4.1
2,25,0.25,1,114,500.4001921,TRUE,TRUE,4.1
3,25,0.25,1,124,526.2850443,TRUE,TRUE,4.1
4,25,0.25,1,125,535.1545303,TRUE,TRUE,4.1
5,25,0.25,1,100,465.6270006,TRUE,TRUE,4.1
6,25,0.25,1,119,495.9638684,TRUE,TRUE,4.1
7,25,0.25,1,125,523.6898065,TRUE,TRUE,4.1
8,25,0.25,1,100,478.0159491,TRUE,TRUE,4.1
9,25,0.25,1,125,530.9284086,TRUE,TRUE,4.1
10,25,0.25,1,130,512.3404919,TRUE,TRUE,4.1
11,25,0.25,1,170,520.3849668,TRUE,TRUE,4.1
12,25,0.25,1,135,548.7661853,TRUE,TRUE,4.1
13,25,0.25,1,135,518.3872784,TRUE,TRUE,4.1
14,25,0.25,1,120,538.1303014,TRUE,TRUE,4.1
15,25,0.25,1,135,498.5524475,TRUE,TRUE,4.1
16,25,0.25,1,140,546.9523831,TRUE,TRUE,4.1
17,25,0.25,1,134,528.5661055,TRUE,TRUE,4.1
18,25,0.25,1,135,532.7951827,TRUE,TRUE,4.1
19,25,0.25,1,114,471.8162752,TRUE,TRUE,4.1
0,25,0.25,1,145,529.8019376,TRUE,TRUE,4.3
1,25,0.25,1,124,534.3316424,TRUE,TRUE,4.3
2,25,0.25,1,104,513.9543979,TRUE,TRUE,4.3
3,25,0.25,1,110,510.5469025,TRUE,TRUE,4.3
4,25,0.25,1,155,539.7184058,TRUE,TRUE,4.3
5,25,0.25,1,105,481.7130077,TRUE,TRUE,4.3
6,25,0.25,1,125,516.1529667,TRUE,TRUE,4.3
7,25,0.25,1,149,532.6794792,TRUE,TRUE,4.3
8,25,0.25,1,110,481.7338228,TRUE,TRUE,4.3
9,25,0.25,1,144,541.2366303,TRUE,TRUE,4.3
10,25,0.25,1,160,537.9945582,TRUE,TRUE,4.3
11,25,0.25,1,165,533.4549701,TRUE,TRUE,4.3
12,25,0.25,1,119,523.4559296,TRUE,TRUE,4.3
13,25,0.25,1,144,529.0842615,TRUE,TRUE,4.3
14,25,0.25,1,135,548.7422811,TRUE,TRUE,4.3
